mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,label
-373.8254,108.05477,1.1449165,35.147118,-3.7884603,11.196431,-4.597048,11.4699,-1.438968,11.358429,23.60117,8.748865,0.04314027,7.786438,-3.0405269,2.94167,-7.7366514,-6.8424363,-2.520025,2.9066205,April
-338.3202,115.18287,0.2240853,39.52921,-8.469351,12.509502,-6.679779,7.0350175,-6.377445,5.046317,24.157463,4.9453926,-3.6961107,8.965182,-5.568588,1.4769837,-8.50212,-7.494553,-4.999994,1.7364407,April
-368.7446,119.61233,8.622377,35.876823,-2.7190747,13.057736,-5.8867073,12.1011915,-7.96277,6.5702286,17.878082,4.5394425,-1.9585505,6.0332413,-4.9657145,-0.9565278,-9.408053,-5.8083086,-4.965655,-3.6913111,April
-332.4501,122.43806,4.0172186,44.60396,-4.8951836,12.375576,-10.751861,9.816513,-7.282236,5.8656216,18.659166,2.9489799,-4.489455,5.3191395,-5.7519116,-1.2444564,-7.8722925,-7.413102,-6.139524,-0.25122586,April
-353.5479,115.63665,15.231867,50.761784,0.64165705,16.530611,0.17596534,5.4125495,-3.5701468,0.27781263,19.206728,4.104084,-3.6672757,5.641163,-8.3767,-0.51917976,-8.302341,-9.415397,-7.4411407,1.3578523,April
-324.9848,120.29946,2.3389978,46.14071,-5.387902,16.034502,0.06434404,12.915546,-1.5001142,4.8495893,20.06786,3.5563874,-4.6202316,5.911006,-7.674642,-0.5689389,-8.420987,-11.707992,-9.615086,2.3231604,April
-333.9447,134.5142,19.494604,57.581135,0.6865253,16.552399,-1.4172715,6.169641,-6.8949256,2.4222455,15.101738,1.0078094,-10.51312,2.5350611,-8.641263,-0.05035374,-9.308376,-9.865017,-5.97935,-0.33894232,April
-344.97113,130.22182,9.779101,49.66436,0.8862486,12.898854,1.6333559,9.499705,-2.9312418,4.165933,16.1127,1.9820776,-6.8912673,4.8590765,-6.1379733,0.82664335,-8.802344,-8.052329,-8.325942,-0.57433885,April
-386.78058,117.94584,3.9221256,44.729813,-0.61336637,20.841648,-1.9892683,6.6832786,13.2993355,8.696627,11.56935,13.662813,5.5204344,5.399821,2.4715054,-6.3479652,-4.3205748,-2.452731,-3.838954,0.622314,April
-380.73438,122.23252,-2.5820153,44.430115,-8.317283,14.45491,-4.9795394,5.6172795,0.920901,0.0117681455,24.497232,7.7661996,-3.7627838,6.4368157,-1.5715427,-3.6407416,-1.3873706,-8.522275,-8.858728,3.7510161,April
-376.6392,114.54348,3.8608367,44.67683,-2.2805915,21.585312,-5.2910194,7.3165245,10.202392,5.686301,12.917487,10.541827,0.7784076,3.544663,0.7212311,-6.946923,-1.7269094,-4.896212,-4.05074,-2.0705526,April
